               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089461,             0.10024,            0.065227,             0.49838,             0.20403,             0.19258,            0.070818,            0.061715,            0.059862,            0.057978,            0.070214,           0.0033095,           0.0033095
                   1,            0.066974,            0.077991,            0.055498,             0.60787,             0.30215,             0.25545,            0.092363,            0.060945,            0.052411,            0.050232,            0.040083,           0.0065113,           0.0065113
                   2,            0.064426,            0.071674,             0.04857,              0.7349,             0.39388,              0.4395,             0.15048,            0.059111,            0.048926,            0.042275,           0.0098192,           0.0095811,           0.0095811
                   3,            0.055906,             0.07036,             0.04247,             0.71687,             0.52767,             0.59589,             0.32528,            0.039003,            0.046281,            0.037186,            0.009406,            0.009406,            0.009406
                   4,            0.046748,            0.066473,            0.037685,             0.79717,             0.61104,             0.68419,             0.35795,              0.0369,            0.043794,            0.031578,            0.009406,            0.009406,            0.009406
                   5,            0.041417,            0.062522,            0.031888,             0.82984,             0.67478,             0.71865,             0.41931,            0.029981,            0.040855,            0.025897,            0.009208,            0.009208,            0.009208
                   6,            0.038723,            0.060906,            0.027275,             0.78229,             0.72011,             0.73859,              0.4112,            0.036138,            0.042236,            0.020866,             0.00901,             0.00901,             0.00901
                   7,            0.036258,            0.060606,            0.022589,             0.87377,             0.71317,             0.77334,             0.42537,            0.029604,            0.038742,            0.017572,            0.008812,            0.008812,            0.008812
                   8,            0.034266,            0.060121,            0.019719,             0.93995,             0.72751,             0.79816,             0.54643,            0.025324,            0.038646,            0.015276,            0.008614,            0.008614,            0.008614
                   9,            0.033116,            0.055571,            0.017298,             0.95837,             0.72867,             0.80198,             0.59988,            0.022529,            0.037035,            0.013758,            0.008416,            0.008416,            0.008416
                  10,              0.0315,            0.055721,            0.016035,             0.97571,             0.73472,             0.82071,             0.59645,            0.024102,            0.037803,            0.012401,            0.008218,            0.008218,            0.008218
                  11,            0.031109,            0.056797,            0.014709,             0.97607,             0.73988,             0.82807,              0.6108,            0.022138,            0.036246,            0.011472,             0.00802,             0.00802,             0.00802
                  12,            0.029237,            0.056537,            0.013796,             0.97835,               0.742,              0.8452,             0.59693,            0.023821,            0.036323,            0.010919,            0.007822,            0.007822,            0.007822
                  13,            0.028279,            0.054151,            0.012774,             0.82659,             0.80829,             0.87429,             0.63789,             0.02237,             0.03613,            0.010233,            0.007624,            0.007624,            0.007624
                  14,            0.027932,            0.053111,             0.01206,             0.86148,             0.85052,             0.90209,             0.66822,            0.020661,            0.035012,           0.0097722,            0.007426,            0.007426,            0.007426
                  15,            0.026528,            0.051465,            0.011315,             0.85817,             0.85942,             0.91335,             0.69314,            0.019765,            0.033834,           0.0090322,            0.007228,            0.007228,            0.007228
                  16,            0.026286,            0.053618,            0.010854,             0.90296,             0.85701,             0.92989,              0.7288,            0.018643,            0.033662,           0.0085462,             0.00703,             0.00703,             0.00703
                  17,            0.024917,            0.051061,            0.010163,             0.85749,             0.87999,             0.93821,             0.71224,            0.019638,            0.034484,           0.0077981,            0.006832,            0.006832,            0.006832
                  18,            0.024435,            0.049497,            0.010078,             0.87641,             0.91276,             0.94718,             0.75599,            0.017796,            0.033466,           0.0074505,            0.006634,            0.006634,            0.006634
                  19,            0.023643,             0.05126,           0.0097464,             0.90711,             0.94015,             0.95091,             0.73448,            0.018498,            0.033672,           0.0073085,            0.006436,            0.006436,            0.006436
                  20,            0.023043,            0.049616,           0.0091397,             0.90579,             0.94497,             0.95223,             0.76509,            0.017615,             0.03342,           0.0068102,            0.006238,            0.006238,            0.006238
                  21,            0.023017,            0.048681,           0.0082396,             0.92247,             0.95066,             0.95791,             0.77857,            0.015822,            0.031424,           0.0064402,             0.00604,             0.00604,             0.00604
                  22,            0.022395,            0.049872,           0.0084009,             0.94317,             0.94683,             0.95764,             0.74222,            0.017457,            0.032382,           0.0062971,            0.005842,            0.005842,            0.005842
                  23,            0.021774,            0.048268,           0.0079428,             0.96136,             0.94935,             0.96294,              0.7873,            0.015496,            0.031832,           0.0060045,            0.005644,            0.005644,            0.005644
                  24,            0.021395,            0.047511,           0.0077046,              0.9655,             0.94679,             0.96469,             0.79107,             0.01503,             0.03118,           0.0057662,            0.005446,            0.005446,            0.005446
                  25,            0.020938,            0.047137,           0.0074684,             0.96564,             0.94803,             0.97086,             0.79593,            0.015034,            0.030616,           0.0055821,            0.005248,            0.005248,            0.005248
                  26,             0.02047,            0.048901,           0.0073975,             0.97499,             0.95464,             0.97499,             0.80926,            0.015678,            0.031342,           0.0052671,             0.00505,             0.00505,             0.00505
                  27,            0.020628,            0.047519,            0.007047,             0.97543,             0.95921,             0.98163,             0.81813,            0.014196,            0.030571,           0.0050478,            0.004852,            0.004852,            0.004852
                  28,            0.019748,            0.045807,           0.0066819,             0.97719,             0.96301,             0.98659,              0.7968,            0.015232,            0.031547,           0.0050336,            0.004654,            0.004654,            0.004654
                  29,            0.020091,            0.046604,           0.0066781,             0.96899,             0.98769,              0.9869,             0.81902,            0.013799,            0.030462,           0.0046253,            0.004456,            0.004456,            0.004456
                  30,            0.019253,            0.046698,           0.0063686,             0.97747,             0.99282,             0.98711,             0.81197,            0.014814,            0.030253,           0.0045684,            0.004258,            0.004258,            0.004258
                  31,            0.019063,            0.046011,           0.0064057,             0.97914,              0.9911,             0.98711,             0.82758,            0.013697,            0.030075,           0.0043472,             0.00406,             0.00406,             0.00406
                  32,            0.018306,            0.045216,           0.0061887,             0.98747,             0.99218,              0.9873,             0.82481,            0.013868,            0.030103,           0.0043493,            0.003862,            0.003862,            0.003862
                  33,            0.017915,            0.045183,           0.0059345,             0.98786,             0.99208,             0.98883,             0.84898,            0.012733,            0.029118,           0.0040278,            0.003664,            0.003664,            0.003664
                  34,            0.018063,            0.045388,           0.0056263,             0.98547,             0.99255,             0.98775,             0.83556,            0.013431,            0.030241,           0.0038517,            0.003466,            0.003466,            0.003466
                  35,            0.017524,            0.044581,           0.0059029,             0.98849,             0.99246,             0.98766,             0.83733,            0.012916,            0.029905,           0.0038491,            0.003268,            0.003268,            0.003268
                  36,            0.017085,            0.044722,           0.0054304,             0.98971,             0.99246,             0.98855,             0.83479,            0.013517,            0.029952,           0.0036884,             0.00307,             0.00307,             0.00307
                  37,            0.016926,            0.044267,           0.0053283,             0.98834,             0.99228,             0.98817,             0.83879,            0.013241,            0.029353,           0.0036574,            0.002872,            0.002872,            0.002872
                  38,              0.0164,            0.043311,           0.0054921,             0.98875,             0.99277,             0.98778,               0.834,            0.013221,            0.029673,           0.0035954,            0.002674,            0.002674,            0.002674
                  39,            0.016164,             0.04364,           0.0051305,             0.98927,             0.99255,             0.98834,              0.8478,            0.012434,            0.028821,           0.0033858,            0.002476,            0.002476,            0.002476
                  40,            0.015675,              0.0421,           0.0051089,             0.98967,             0.99282,             0.98768,             0.83803,            0.013304,             0.02969,           0.0033287,            0.002278,            0.002278,            0.002278
                  41,            0.015531,            0.042467,           0.0049642,             0.98838,             0.99183,             0.98884,             0.84766,             0.01241,            0.029076,           0.0033393,             0.00208,             0.00208,             0.00208
                  42,            0.015278,            0.043624,            0.004839,             0.99028,             0.99282,             0.98718,             0.84392,            0.012484,            0.029174,           0.0032341,            0.001882,            0.001882,            0.001882
                  43,            0.015061,            0.042953,           0.0047742,             0.99015,             0.99278,             0.98852,             0.84672,            0.012561,            0.029044,           0.0031645,            0.001684,            0.001684,            0.001684
                  44,            0.014629,            0.041509,           0.0047211,             0.99039,             0.99282,             0.98847,             0.84902,            0.012266,            0.028764,           0.0030511,            0.001486,            0.001486,            0.001486
                  45,            0.014529,            0.041961,           0.0047009,             0.99033,             0.99258,             0.98847,             0.85018,            0.012329,            0.028744,           0.0030348,            0.001288,            0.001288,            0.001288
                  46,             0.01426,            0.041336,           0.0044332,             0.99053,             0.99282,             0.98855,              0.8511,            0.012343,            0.028917,           0.0029957,             0.00109,             0.00109,             0.00109
                  47,            0.013854,             0.04041,           0.0041934,             0.98933,             0.99239,             0.98877,             0.85589,            0.012017,            0.028528,           0.0029526,            0.000892,            0.000892,            0.000892
                  48,            0.013933,            0.040979,           0.0046276,             0.98863,             0.99216,              0.9894,             0.85329,             0.01198,             0.02835,           0.0028997,            0.000694,            0.000694,            0.000694
                  49,             0.01385,            0.040579,           0.0044659,             0.98901,             0.99219,             0.98902,             0.85441,            0.012006,            0.028367,           0.0028935,            0.000496,            0.000496,            0.000496
